Town,Inhabitants,y_lat,x_lon,node_id
Bögöt,390.0,47.24445000000003,16.81023887500004,11830152852
Bögöte,334.0,47.06406365800007,17.05587500000007,410868874
Böhönye,2263.0,46.41442000000006,17.39230436000003,15363857
Bököny,3116.0,47.74834156100007,21.74322500000005,1820330411
Bölcske,2732.0,46.72437500000007,18.92662566400003,173134182
Bőny,2315.0,47.65145000100006,17.84466388200008,420074215
Börcs,1459.0,47.69168000000008,17.50238390300007,111007813
Börzönce,43.0,46.5796710907513,16.88112040095659,1085346042
Bősárkány,2259.0,47.69617149400005,17.22434319600006,4251857359
Bőszénfa,486.0,46.25399500000003,17.79208803300003,25926054
Bucsa,2247.0,47.19570500000003,20.99824588200005,544859821
Bucsu,613.0,47.26701000000003,16.50381201100004,309949215
Búcsúszentlászló,742.0,46.7883188928561,16.9321194721941,386177789
Bucsuta,213.0,46.58525500000007,16.83771665000006,412781709
Budajenő,2556.0,47.56823000000003,18.81134801100006,3380971667
Budakalász,12238.0,47.62283000000008,19.04914328000007,2021614536
Budakeszi,15875.0,47.50916166500008,18.90385500100007,36473218
Budaörs,29337.0,47.45672000000008,18.94021541900003,161511450
Budapest01,25371.0,47.49705,19.03961,378705837
Budapest02,84360.0,47.51984,19.02218,8677104439
Budapest03,122219.0,47.54157,19.04501,50558465
Budapest04,91629.0,47.56182,19.08909,56428684
Budapest05,24308.0,47.5002,19.052,417853307
Budapest06,35005.0,47.50369,19.06583,65156237
Budapest07,47787.0,47.5027,19.0734,3371466315
Budapest08,67997.0,47.48919,19.07012,262766794
Budapest09,52899.0,47.465,19.1042,280336870
Budapest10,68220.0,47.4791,19.15835,288992529
Budapest11,130165.0,47.47603,19.03605,268257129
Budapest12,55389.0,47.49192,19.01493,277888829
Budapest13,115930.0,47.52978,19.08068,35340284
Budapest14,110506.0,47.5225,19.1147,221546374
Budapest15,74150.0,47.56263,19.11681,289811843
Budapest16,71872.0,47.51482,19.17028,31998004
Budapest17,85682.0,47.47997,19.25388,1706368926
Budapest18,98433.0,47.44417,19.17595,142322555
